transaction_id,user_id,timestamp,amount,category,receiver_id,receiver_type,status,payment_method,location,day_of_week,hour,is_weekend
TXN_000001,USER_0655,2024-03-12 07:20:00,140,Transportation,Service Provider_5012,Service Provider,SUCCESS,Google Pay,Bangalore,Tuesday,7,0
TXN_000002,USER_0755,2024-03-28 07:35:00,102,Transportation,E-commerce_1520,E-commerce,SUCCESS,PhonePe,Delhi,Thursday,7,0
TXN_000003,USER_0224,2024-10-20 10:59:00,514,Bills & Utilities,Individual_9928,Individual,SUCCESS,BHIM,Chennai,Sunday,10,1
TXN_000004,USER_0460,2024-11-09 13:43:00,4659,Transfer to Friends,Merchant_3615,Merchant,FAILED,Cred,Pune,Saturday,13,1
TXN_000005,USER_0349,2024-09-27 20:43:00,217,Entertainment,Individual_6514,Individual,SUCCESS,PhonePe,Delhi,Friday,20,0
TXN_000006,USER_0390,2024-05-10 17:50:00,98,Transportation,Service Provider_5333,Service Provider,SUCCESS,PhonePe,Ahmedabad,Friday,17,0
TXN_000007,USER_0550,2024-11-11 18:49:00,115,Transportation,Merchant_5803,Merchant,SUCCESS,Cred,Lucknow,Monday,18,0
TXN_000008,USER_0907,2024-02-22 10:19:00,1666,Healthcare,Merchant_1750,Merchant,SUCCESS,Cred,Chennai,Thursday,10,0
TXN_000009,USER_0792,2024-02-04 18:35:00,903,Entertainment,Individual_2654,Individual,SUCCESS,BHIM,Kolkata,Sunday,18,1
TXN_000010,USER_0465,2024-02-23 10:03:00,1463,Healthcare,Service Provider_6820,Service Provider,SUCCESS,Google Pay,Kolkata,Friday,10,0
TXN_000011,USER_0719,2024-08-02 08:56:00,235,Transportation,Individual_3677,Individual,SUCCESS,BHIM,Pune,Friday,8,0
TXN_000012,USER_0277,2024-07-26 18:17:00,934,Fuel,Service Provider_1916,Service Provider,SUCCESS,Google Pay,Mumbai,Friday,18,0
TXN_000013,USER_0825,2024-02-10 13:14:00,528,Healthcare,Service Provider_2084,Service Provider,SUCCESS,Google Pay,Lucknow,Saturday,13,1
TXN_000014,USER_0898,2024-12-09 09:43:00,827,Healthcare,E-commerce_7482,E-commerce,SUCCESS,Cred,Ahmedabad,Monday,9,0
TXN_000015,USER_0147,2024-09-17 19:38:00,505,Entertainment,Individual_9830,Individual,SUCCESS,Paytm,Lucknow,Tuesday,19,0
TXN_000016,USER_0439,2024-05-14 16:07:00,3219,Transfer to Friends,Service Provider_4593,Service Provider,SUCCESS,Google Pay,Jaipur,Tuesday,16,0
TXN_000017,USER_0506,2024-08-03 07:34:00,88,Transportation,Merchant_3504,Merchant,SUCCESS,Cred,Bangalore,Saturday,7,1
TXN_000018,USER_0812,2024-02-04 09:34:00,3157,Education,E-commerce_7252,E-commerce,SUCCESS,Amazon Pay,Ahmedabad,Sunday,9,1
TXN_000019,USER_0542,2024-09-11 20:08:00,346,Entertainment,Merchant_9797,Merchant,SUCCESS,Paytm,Hyderabad,Wednesday,20,0
TXN_000020,USER_0115,2024-02-11 21:12:00,980,Entertainment,Individual_8433,Individual,SUCCESS,PhonePe,Kolkata,Sunday,21,1
TXN_000021,USER_0996,2024-08-09 10:22:00,291,Fuel,Merchant_5889,Merchant,SUCCESS,Cred,Jaipur,Friday,10,0
TXN_000022,USER_0624,2024-01-29 12:12:00,1451,Bills & Utilities,Service Provider_3646,Service Provider,SUCCESS,Amazon Pay,Jaipur,Monday,12,0
TXN_000023,USER_0941,2024-06-18 19:56:00,102,Food & Dining,Service Provider_9005,Service Provider,SUCCESS,PhonePe,Delhi,Tuesday,19,0
TXN_000024,USER_0952,2024-01-28 12:43:00,1049,Healthcare,Individual_1949,Individual,SUCCESS,Google Pay,Lucknow,Sunday,12,1
TXN_000025,USER_0970,2024-08-18 08:32:00,117,Transportation,E-commerce_2133,E-commerce,SUCCESS,Amazon Pay,Bangalore,Sunday,8,1
TXN_000026,USER_0132,2024-04-30 12:12:00,404,Groceries,Service Provider_9645,Service Provider,SUCCESS,Amazon Pay,Pune,Tuesday,12,0
TXN_000027,USER_0988,2024-11-13 13:32:00,848,Bills & Utilities,Service Provider_7537,Service Provider,SUCCESS,Cred,Hyderabad,Wednesday,13,0
TXN_000028,USER_0449,2024-05-31 20:58:00,868,Fuel,Merchant_5061,Merchant,SUCCESS,Google Pay,Delhi,Friday,20,0
TXN_000029,USER_0347,2024-11-13 19:57:00,190,Food & Dining,Individual_4608,Individual,SUCCESS,PhonePe,Delhi,Wednesday,19,0
TXN_000030,USER_0725,2024-04-22 08:48:00,346,Food & Dining,Merchant_1514,Merchant,SUCCESS,Paytm,Delhi,Monday,8,0
TXN_000031,USER_0527,2024-05-05 10:52:00,557,Bills & Utilities,E-commerce_4510,E-commerce,SUCCESS,Amazon Pay,Bangalore,Sunday,10,1
TXN_000032,USER_0741,2024-09-03 11:54:00,1830,Transfer to Friends,Individual_8749,Individual,SUCCESS,BHIM,Chennai,Tuesday,11,0
TXN_000033,USER_0097,2024-11-20 18:33:00,60,Transportation,Service Provider_7939,Service Provider,SUCCESS,BHIM,Ahmedabad,Wednesday,18,0
TXN_000034,USER_0885,2024-05-23 19:08:00,275,Food & Dining,Merchant_1993,Merchant,SUCCESS,BHIM,Hyderabad,Thursday,19,0
TXN_000035,USER_0820,2024-05-27 08:06:00,191,Transportation,Individual_4116,Individual,SUCCESS,Amazon Pay,Ahmedabad,Monday,8,0
TXN_000036,USER_0144,2024-05-07 15:17:00,3607,Education,Service Provider_8579,Service Provider,SUCCESS,Google Pay,Delhi,Tuesday,15,0
TXN_000037,USER_0454,2024-10-24 08:06:00,420,Fuel,Merchant_9856,Merchant,SUCCESS,PhonePe,Delhi,Thursday,8,0
TXN_000038,USER_0949,2024-04-21 09:51:00,597,Bills & Utilities,E-commerce_8956,E-commerce,SUCCESS,BHIM,Chennai,Sunday,9,1
TXN_000039,USER_0886,2024-02-06 16:58:00,4174,Education,Individual_7209,Individual,SUCCESS,PhonePe,Pune,Tuesday,16,0
TXN_000040,USER_0272,2024-04-08 11:47:00,325,Groceries,E-commerce_8973,E-commerce,SUCCESS,Google Pay,Chennai,Monday,11,0
TXN_000041,USER_0304,2024-03-15 09:07:00,809,Bills & Utilities,Merchant_6138,Merchant,SUCCESS,PhonePe,Mumbai,Friday,9,0
TXN_000042,USER_0599,2024-12-05 11:47:00,234,Groceries,Merchant_9320,Merchant,SUCCESS,PhonePe,Bangalore,Thursday,11,0
TXN_000043,USER_0071,2024-06-11 20:40:00,2974,Transfer to Friends,Individual_7615,Individual,SUCCESS,PhonePe,Lucknow,Tuesday,20,0
TXN_000044,USER_0253,2024-10-15 21:20:00,1666,Transfer to Friends,Merchant_7868,Merchant,SUCCESS,Cred,Lucknow,Tuesday,21,0
TXN_000045,USER_0579,2024-05-07 06:47:00,680,Fuel,Service Provider_4346,Service Provider,SUCCESS,Cred,Hyderabad,Tuesday,6,0
TXN_000046,USER_0245,2024-01-22 22:50:00,546,Entertainment,Individual_5915,Individual,SUCCESS,BHIM,Hyderabad,Monday,22,0
TXN_000047,USER_0952,2024-04-06 08:46:00,69,Transportation,E-commerce_2638,E-commerce,SUCCESS,PhonePe,Jaipur,Saturday,8,1
TXN_000048,USER_0219,2024-11-12 21:18:00,684,Fuel,Individual_6718,Individual,SUCCESS,PhonePe,Chennai,Tuesday,21,0
TXN_000049,USER_0379,2024-01-06 20:59:00,144,Entertainment,E-commerce_9900,E-commerce,FAILED,Cred,Kolkata,Saturday,20,1
TXN_000050,USER_0627,2024-12-14 06:45:00,490,Fuel,Service Provider_2697,Service Provider,SUCCESS,Google Pay,Kolkata,Saturday,6,1
TXN_000051,USER_0119,2024-06-09 08:02:00,108,Transportation,Service Provider_5616,Service Provider,SUCCESS,Amazon Pay,Chennai,Sunday,8,1
TXN_000052,USER_0735,2024-08-10 14:57:00,955,Healthcare,Service Provider_9280,Service Provider,SUCCESS,BHIM,Kolkata,Saturday,14,1
