user_id,avg_amount,median_amount,amount_std,min_amount,max_amount,transaction_count,preferred_category,avg_hour,weekend_ratio,first_transaction,last_transaction,cluster
USER_0001,1017.0,540.5,1052.88,293,3192,8,Entertainment,14.88,0.38,2024-01-20 14:35:00,2024-08-21 15:09:00,0
USER_0002,1004.5,609.0,1299.48,216,4110,8,Healthcare,16.88,0.0,2024-02-13 16:58:00,2024-06-12 20:27:00,4
USER_0003,1708.67,880.0,1956.99,159,6279,12,Bills & Utilities,13.75,0.25,2024-01-05 13:30:00,2024-12-06 16:14:00,1
USER_0004,1165.78,544.0,1229.42,136,3025,9,Education,13.67,0.33,2024-05-27 16:49:00,2024-11-29 16:29:00,4
USER_0005,1026.5,587.5,1026.22,187,3532,12,Groceries,14.67,0.5,2024-01-19 18:38:00,2024-12-17 12:46:00,3
USER_0006,582.12,414.5,578.83,77,1852,8,Entertainment,15.5,0.38,2024-02-25 12:43:00,2024-11-23 18:39:00,0
USER_0007,509.55,294.0,495.95,68,1541,11,Food & Dining,14.73,0.36,2024-02-26 13:09:00,2024-11-22 19:24:00,2
USER_0008,816.93,659.5,639.8,103,1814,14,Entertainment,15.57,0.29,2024-01-20 20:25:00,2024-10-29 16:07:00,3
USER_0009,999.83,376.5,1165.83,59,2558,6,Entertainment,15.0,0.33,2024-02-13 17:18:00,2024-11-07 18:46:00,0
USER_0010,1495.58,383.0,2433.1,109,8089,12,Education,16.25,0.25,2024-04-22 19:47:00,2024-10-14 17:30:00,1
USER_0011,788.56,729.0,477.94,140,1467,9,Healthcare,13.78,0.22,2024-02-18 22:14:00,2024-12-17 14:16:00,2
USER_0012,1077.55,628.0,1000.4,208,3127,11,Food & Dining,14.27,0.36,2024-01-21 15:55:00,2024-10-14 20:37:00,3
USER_0013,1039.57,955.0,862.37,206,2759,7,Shopping,15.29,0.57,2024-04-07 09:25:00,2024-12-11 17:02:00,0
USER_0014,1381.86,651.0,1460.48,109,3885,7,Shopping,13.29,0.57,2024-01-14 11:01:00,2024-11-17 08:39:00,0
USER_0015,672.56,642.5,512.29,73,1850,16,Shopping,15.5,0.44,2024-01-15 16:40:00,2024-12-24 21:35:00,3
USER_0016,843.9,766.0,668.96,97,2488,10,Bills & Utilities,12.3,0.2,2024-01-04 15:28:00,2024-11-28 13:19:00,2
USER_0017,942.15,195.0,1318.34,30,3667,13,Transportation,13.54,0.38,2024-01-05 08:52:00,2024-12-29 08:08:00,3
USER_0018,1973.0,786.0,2362.28,53,7008,11,Bills & Utilities,14.45,0.36,2024-01-01 14:52:00,2024-11-05 14:01:00,1
USER_0019,682.67,644.0,630.81,90,2267,9,Groceries,15.0,0.22,2024-02-22 19:08:00,2024-11-15 12:58:00,2
USER_0020,733.33,688.0,353.19,405,1107,3,Shopping,13.0,0.33,2024-03-10 14:11:00,2024-12-06 17:24:00,0
USER_0021,316.5,386.0,191.38,53,501,6,Food & Dining,16.5,0.17,2024-02-12 19:50:00,2024-12-01 12:37:00,2
USER_0022,1409.0,706.0,1623.79,69,4859,9,Shopping,14.67,0.22,2024-01-13 13:19:00,2024-11-06 19:49:00,4
USER_0023,1299.42,1058.5,1223.36,207,4488,12,Education,13.42,0.25,2024-01-30 12:52:00,2024-11-25 14:58:00,4
USER_0024,909.75,836.0,670.07,156,2399,12,Groceries,14.33,0.5,2024-01-19 12:49:00,2024-10-20 14:00:00,3
USER_0025,1329.38,496.5,1778.52,76,6324,16,Entertainment,15.88,0.38,2024-01-04 21:44:00,2024-12-29 14:21:00,3
USER_0026,2249.7,1337.5,2531.72,162,7867,10,Education,15.3,0.1,2024-02-14 22:05:00,2024-12-05 19:39:00,1
USER_0027,1369.62,523.0,1632.01,196,5711,13,Bills & Utilities,13.15,0.08,2024-01-07 14:22:00,2024-10-25 11:38:00,4
USER_0028,1919.0,1848.5,1418.85,501,4416,6,Transfer to Friends,13.33,0.33,2024-01-07 13:37:00,2024-11-28 08:21:00,1
USER_0029,2384.1,1166.5,2726.85,131,6901,10,Transfer to Friends,14.6,0.2,2024-01-21 18:42:00,2024-10-22 12:07:00,1
USER_0030,549.65,566.0,280.68,59,1054,17,Bills & Utilities,14.71,0.18,2024-01-01 15:15:00,2024-10-30 13:12:00,3
USER_0031,971.25,529.0,1340.28,133,4169,8,Transportation,11.25,0.25,2024-01-04 07:17:00,2024-09-21 17:28:00,4
USER_0032,1461.4,929.0,1268.98,159,3147,5,Bills & Utilities,12.0,0.4,2024-02-08 14:44:00,2024-10-10 16:15:00,1
USER_0033,324.17,379.5,177.75,57,516,6,Entertainment,14.5,0.5,2024-02-17 21:20:00,2024-10-05 09:29:00,0
USER_0034,794.67,474.0,1066.12,46,3482,9,Food & Dining,11.11,0.44,2024-02-04 08:31:00,2024-12-02 08:56:00,0
USER_0035,1026.73,929.0,649.97,93,2004,11,Healthcare,13.36,0.45,2024-02-04 15:26:00,2024-12-05 12:21:00,0
USER_0036,691.33,285.0,779.46,199,1590,3,Education,16.0,0.67,2024-06-08 13:44:00,2024-10-22 14:57:00,0
USER_0037,747.92,468.0,678.05,72,2027,12,Healthcare,14.08,0.17,2024-01-26 13:39:00,2024-12-04 10:00:00,2
USER_0038,688.4,557.5,641.14,64,2264,10,Entertainment,14.3,0.3,2024-01-19 13:10:00,2024-10-17 08:54:00,2
USER_0039,739.5,669.0,633.05,55,1581,6,Transportation,13.0,0.17,2024-01-01 15:05:00,2024-12-06 08:28:00,2
USER_0040,544.62,509.5,443.95,32,1145,8,Bills & Utilities,11.38,0.12,2024-01-01 09:15:00,2024-12-02 13:50:00,2
